nohup: ignoring input
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
Python : 3.10.18
PyTorch: 2.4.1+cu121 | CUDA: True
GPU    : NVIDIA GeForce RTX 4070 Laptop GPU
VRAM   : 8.2 GB

Profile         : full
Algos           : ['PPO']
Stages          : ['1-1', '1-2', '4-1', '8-1']
Seeds           : [42, 123, 2024]
Total timesteps : 500,000
Total treinos   : 12
Reward shaping  : não
Output em       : /home/murilo/Documents/academico/unesp_cc/repos/unesp-paper-deep-reinforcement-learning-platform-2d-games/mario_drl_results


======================================================================
[1/12] PPO | stage 1-1 | seed 42
======================================================================

► [PPO_stage1-1_seed42] treinando (500,000 timesteps restantes, n_envs=8)
  [eval @ 175,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 180,000] reward=  -21.00± 0.00  completion=0%  max_x_avg=435
  [eval @ 185,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 190,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 195,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 200,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 205,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 210,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 215,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 220,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 225,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 230,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 235,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 240,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 245,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 250,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 255,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 260,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 265,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 270,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 275,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 280,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 285,000] reward= +251.00± 0.00  completion=0%  max_x_avg=315
  [eval @ 290,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 295,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 300,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 305,000] reward= +249.00± 0.00  completion=0%  max_x_avg=313
  [eval @ 310,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 315,000] reward= +240.00± 0.00  completion=0%  max_x_avg=304
  [eval @ 320,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 325,000] reward= +231.00± 0.00  completion=0%  max_x_avg=296
  [eval @ 330,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
  [eval @ 335,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
